Date,Expense Name,Amount,Account Number,Budget Category
2023-05-28,Heating Bill - GasCompany,-68,Checking,Utilities & Bills
2023-05-29,HBO Max Subscription,-25,Checking,Entertainment
2023-05-29,Amazon Purchase,-90,Checking,Shopping & Miscellaneous
2023-05-29,Zara Clothing,-201,Checking,Shopping & Miscellaneous
2023-05-30,Amusement Park Ticket,-16,Checking,Entertainment
2023-05-30,Uber Eats,-221,Savings,Groceries & Dining
2023-05-30,Nike Shoes,-247,Checking,Shopping & Miscellaneous
2023-05-30,Mobile Plan - Verizon,-50,Savings,Utilities & Bills
2023-05-30,Amazon Prime Video,-65,Checking,Entertainment
2023-05-31,Best Buy Electronics,-131,Checking,Shopping & Miscellaneous
2023-05-31,Emergency Fund Contribution,142,Checking,Savings
2023-05-31,Monthly Rent - Apartment,-1200,Checking,Rent
2023-05-31,Salary Payment,3000,Checking,Salary
2023-06-01,Sephora Makeup,-41,Checking,Shopping & Miscellaneous
2023-06-01,Amazon Prime Video,-16,Savings,Entertainment
2023-06-02,Whole Foods,-102,Checking,Groceries & Dining
2023-06-03,Walmart Household Supplies,-130,Checking,Shopping & Miscellaneous
2023-06-03,Best Buy Electronics,-46,Savings,Shopping & Miscellaneous
2023-06-03,IKEA Furniture,-116,Savings,Shopping & Miscellaneous
2023-06-03,Local Theatre Play,-58,Savings,Entertainment
2023-06-03,Internet Bill - Comcast,-51,Checking,Utilities & Bills
2023-06-04,Target Shopping,-213,Checking,Shopping & Miscellaneous
2023-06-04,Domino's Pizza,-271,Checking,Groceries & Dining
2023-06-05,Electricity Bill - PowerCo,-68,Checking,Utilities & Bills
2023-06-05,Local Theatre Play,-49,Checking,Entertainment
2023-06-05,DoorDash,-245,Checking,Groceries & Dining
2023-06-05,Trader Joe's,-93,Savings,Groceries & Dining
2023-06-05,Starbucks Coffee,-263,Checking,Groceries & Dining
2023-06-06,Fine Dining Restaurant,-243,Savings,Groceries & Dining
2023-06-07,Amazon Purchase,-68,Checking,Shopping & Miscellaneous
2023-06-08,Chipotle,-86,Savings,Groceries & Dining
2023-06-08,Spotify Premium,-12,Checking,Entertainment
2023-06-09,Spotify Premium,-43,Savings,Entertainment
2023-06-09,Walmart Household Supplies,-88,Savings,Shopping & Miscellaneous
2023-06-10,Electricity Bill - PowerCo,-55,Savings,Utilities & Bills
2023-06-13,Electricity Bill - PowerCo,-79,Savings,Utilities & Bills
2023-06-14,Stock Purchase - Robinhood,318,Savings,Savings
2023-06-15,Electricity Bill - PowerCo,-43,Checking,Utilities & Bills
2023-06-16,DoorDash,-127,Checking,Groceries & Dining
2023-06-16,Netflix Subscription,-11,Checking,Entertainment
2023-06-16,Zara Clothing,-38,Checking,Shopping & Miscellaneous
2023-06-18,Retirement Contribution - Vanguard,481,Savings,Savings
2023-06-18,Movie Night - AMC Theatres,-42,Savings,Entertainment
2023-06-20,Netflix Subscription,-29,Checking,Entertainment
2023-06-20,Retirement Contribution - Vanguard,114,Checking,Savings
2023-06-21,Water Bill - City Water,-72,Savings,Utilities & Bills
2023-06-21,HBO Max Subscription,-27,Savings,Entertainment
2023-06-22,Stock Purchase - Robinhood,273,Checking,Savings
2023-06-22,Investment Deposit,191,Savings,Savings
2023-06-22,Transfer to Savings Account,151,Checking,Savings
2023-06-25,Local Theatre Play,-20,Savings,Entertainment
2023-06-26,Mobile Plan - Verizon,-76,Checking,Utilities & Bills
2023-06-26,Domino's Pizza,-276,Savings,Groceries & Dining
2023-06-28,Movie Night - AMC Theatres,-19,Savings,Entertainment
2023-06-28,Best Buy Electronics,-86,Savings,Shopping & Miscellaneous
2023-06-29,Amusement Park Ticket,-59,Savings,Entertainment
2023-06-30,Concert Tickets,-53,Checking,Entertainment
2023-06-30,Monthly Rent - Apartment,-1200,Checking,Rent
2023-06-30,Salary Payment,3000,Checking,Salary
2023-07-01,Zara Clothing,-195,Savings,Shopping & Miscellaneous
2023-07-01,Transfer to Savings Account,105,Checking,Savings
2023-07-01,Investment Deposit,242,Checking,Savings
2023-07-01,Uber Eats,-286,Savings,Groceries & Dining
2023-07-02,Emergency Fund Contribution,335,Checking,Savings
2023-07-02,Spotify Premium,-21,Savings,Entertainment
2023-07-03,Amazon Purchase,-67,Savings,Shopping & Miscellaneous
2023-07-03,Spotify Premium,-14,Checking,Entertainment
2023-07-03,Walmart Household Supplies,-238,Savings,Shopping & Miscellaneous
2023-07-04,Mobile Plan - Verizon,-84,Checking,Utilities & Bills
2023-07-04,Target Shopping,-70,Savings,Shopping & Miscellaneous
2023-07-04,Water Bill - City Water,-53,Savings,Utilities & Bills
2023-07-06,Retirement Contribution - Vanguard,385,Savings,Savings
2023-07-07,Apple Store,-215,Savings,Shopping & Miscellaneous
2023-07-07,Movie Night - AMC Theatres,-45,Savings,Entertainment
2023-07-07,Mobile Plan - Verizon,-61,Savings,Utilities & Bills
2023-07-08,Starbucks Coffee,-215,Savings,Groceries & Dining
2023-07-10,Zara Clothing,-195,Savings,Shopping & Miscellaneous
2023-07-11,Internet Bill - Comcast,-65,Checking,Utilities & Bills
2023-07-13,Nike Shoes,-234,Savings,Shopping & Miscellaneous
2023-07-15,Uber Eats,-267,Savings,Groceries & Dining
2023-07-16,Amusement Park Ticket,-23,Savings,Entertainment
2023-07-16,Amusement Park Ticket,-15,Savings,Entertainment
2023-07-17,McDonald's,-192,Savings,Groceries & Dining
2023-07-17,Amazon Prime Video,-14,Savings,Entertainment
2023-07-18,Investment Deposit,236,Savings,Savings
2023-07-20,Investment Deposit,324,Savings,Savings
2023-07-20,Water Bill - City Water,-53,Savings,Utilities & Bills
2023-07-21,Trader Joe's,-236,Checking,Groceries & Dining
2023-07-21,McDonald's,-135,Checking,Groceries & Dining
2023-07-22,Spotify Premium,-64,Checking,Entertainment
2023-07-23,Retirement Contribution - Vanguard,228,Savings,Savings
2023-07-24,Stock Purchase - Robinhood,244,Checking,Savings
2023-07-24,Stock Purchase - Robinhood,163,Checking,Savings
2023-07-25,Water Bill - City Water,-35,Checking,Utilities & Bills
2023-07-25,Heating Bill - GasCompany,-80,Savings,Utilities & Bills
2023-07-26,Transfer to Savings Account,471,Savings,Savings
2023-07-26,Target Shopping,-88,Savings,Shopping & Miscellaneous
2023-07-27,Movie Night - AMC Theatres,-22,Checking,Entertainment
2023-07-27,Electricity Bill - PowerCo,-24,Checking,Utilities & Bills
2023-07-28,Emergency Fund Contribution,377,Checking,Savings
2023-07-28,HBO Max Subscription,-56,Checking,Entertainment
2023-07-29,Internet Bill - Comcast,-86,Savings,Utilities & Bills
2023-07-29,Sephora Makeup,-123,Checking,Shopping & Miscellaneous
2023-07-30,Salary Payment,3000,Checking,Salary
2023-07-30,Monthly Rent - Apartment,-1200,Checking,Rent
2023-07-30,HBO Max Subscription,-63,Savings,Entertainment
2023-07-31,Water Bill - City Water,-73,Savings,Utilities & Bills
2023-07-31,Mobile Plan - Verizon,-30,Savings,Utilities & Bills
2023-08-01,Amusement Park Ticket,-30,Checking,Entertainment
2023-08-02,Investment Deposit,406,Checking,Savings
2023-08-03,Spotify Premium,-41,Checking,Entertainment
2023-08-04,Apple Store,-217,Checking,Shopping & Miscellaneous
2023-08-04,Emergency Fund Contribution,108,Checking,Savings
2023-08-04,Heating Bill - GasCompany,-86,Checking,Utilities & Bills
2023-08-06,Transfer to Savings Account,118,Savings,Savings
2023-08-07,Investment Deposit,222,Checking,Savings
2023-08-07,Etsy Handmade Goods,-210,Checking,Shopping & Miscellaneous
2023-08-07,Local Theatre Play,-70,Savings,Entertainment
2023-08-07,Retirement Contribution - Vanguard,218,Checking,Savings
2023-08-07,Water Bill - City Water,-51,Savings,Utilities & Bills
2023-08-08,Transfer to Savings Account,178,Savings,Savings
2023-08-09,Mobile Plan - Verizon,-75,Checking,Utilities & Bills
2023-08-10,Transfer to Savings Account,356,Checking,Savings
2023-08-10,IKEA Furniture,-72,Savings,Shopping & Miscellaneous
2023-08-10,Mobile Plan - Verizon,-98,Checking,Utilities & Bills
2023-08-10,McDonald's,-175,Checking,Groceries & Dining
2023-08-10,Retirement Contribution - Vanguard,185,Savings,Savings
2023-08-11,Amazon Purchase,-183,Savings,Shopping & Miscellaneous
2023-08-11,Target Shopping,-57,Savings,Shopping & Miscellaneous
2023-08-11,Whole Foods,-275,Savings,Groceries & Dining
2023-08-12,Walmart Household Supplies,-55,Savings,Shopping & Miscellaneous
2023-08-13,Uber Eats,-92,Savings,Groceries & Dining
2023-08-14,Internet Bill - Comcast,-55,Savings,Utilities & Bills
2023-08-14,Local Farmers Market,-283,Checking,Groceries & Dining
2023-08-14,Stock Purchase - Robinhood,203,Checking,Savings
2023-08-15,Nike Shoes,-147,Savings,Shopping & Miscellaneous
2023-08-15,Investment Deposit,173,Savings,Savings
2023-08-15,Mobile Plan - Verizon,-79,Savings,Utilities & Bills
2023-08-17,Amazon Prime Video,-65,Savings,Entertainment
2023-08-18,Local Boutique Purchase,-107,Savings,Shopping & Miscellaneous
2023-08-20,Whole Foods,-84,Checking,Groceries & Dining
2023-08-20,Emergency Fund Contribution,133,Checking,Savings
2023-08-20,Emergency Fund Contribution,276,Savings,Savings
2023-08-20,Investment Deposit,459,Checking,Savings
2023-08-20,Best Buy Electronics,-248,Checking,Shopping & Miscellaneous
2023-08-20,Retirement Contribution - Vanguard,132,Checking,Savings
2023-08-23,Electricity Bill - PowerCo,-83,Checking,Utilities & Bills
2023-08-24,Amusement Park Ticket,-19,Checking,Entertainment
2023-08-24,Water Bill - City Water,-50,Savings,Utilities & Bills
2023-08-24,Amusement Park Ticket,-26,Checking,Entertainment
2023-08-25,Retirement Contribution - Vanguard,414,Checking,Savings
2023-08-26,Heating Bill - GasCompany,-21,Savings,Utilities & Bills
2023-08-26,Mobile Plan - Verizon,-89,Savings,Utilities & Bills
2023-08-26,Walmart Groceries,-185,Savings,Groceries & Dining
2023-08-27,Mobile Plan - Verizon,-79,Checking,Utilities & Bills
2023-08-27,Electricity Bill - PowerCo,-79,Checking,Utilities & Bills
2023-08-28,Transfer to Savings Account,389,Savings,Savings
2023-08-28,Amazon Prime Video,-67,Savings,Entertainment
2023-08-29,Salary Payment,3000,Checking,Salary
2023-08-29,Chipotle,-141,Checking,Groceries & Dining
2023-08-29,Monthly Rent - Apartment,-1200,Checking,Rent
2023-08-29,HBO Max Subscription,-38,Savings,Entertainment
2023-08-30,Transfer to Savings Account,203,Checking,Savings
2023-08-30,Local Farmers Market,-241,Savings,Groceries & Dining
2023-08-30,Electricity Bill - PowerCo,-97,Savings,Utilities & Bills
2023-09-01,Trader Joe's,-196,Checking,Groceries & Dining
2023-09-02,Sephora Makeup,-208,Checking,Shopping & Miscellaneous
2023-09-03,Walmart Household Supplies,-165,Savings,Shopping & Miscellaneous
2023-09-03,Trader Joe's,-215,Checking,Groceries & Dining
2023-09-06,Local Boutique Purchase,-187,Checking,Shopping & Miscellaneous
2023-09-06,Best Buy Electronics,-245,Savings,Shopping & Miscellaneous
2023-09-07,Movie Night - AMC Theatres,-64,Checking,Entertainment
2023-09-08,Movie Night - AMC Theatres,-37,Savings,Entertainment
2023-09-09,Whole Foods,-121,Savings,Groceries & Dining
2023-09-12,McDonald's,-168,Savings,Groceries & Dining
2023-09-14,Walmart Household Supplies,-89,Savings,Shopping & Miscellaneous
2023-09-14,Internet Bill - Comcast,-94,Checking,Utilities & Bills
2023-09-15,Stock Purchase - Robinhood,393,Savings,Savings
2023-09-16,Amazon Purchase,-153,Savings,Shopping & Miscellaneous
2023-09-16,Local Theatre Play,-65,Checking,Entertainment
2023-09-19,McDonald's,-206,Checking,Groceries & Dining
2023-09-20,Walmart Household Supplies,-109,Savings,Shopping & Miscellaneous
2023-09-20,Zara Clothing,-129,Checking,Shopping & Miscellaneous
2023-09-20,Uber Eats,-109,Checking,Groceries & Dining
2023-09-21,Stock Purchase - Robinhood,169,Savings,Savings
2023-09-21,Starbucks Coffee,-177,Checking,Groceries & Dining
2023-09-22,Stock Purchase - Robinhood,111,Savings,Savings
2023-09-22,Domino's Pizza,-83,Savings,Groceries & Dining
2023-09-23,Best Buy Electronics,-49,Checking,Shopping & Miscellaneous
2023-09-23,Water Bill - City Water,-35,Checking,Utilities & Bills
2023-09-24,Sephora Makeup,-186,Checking,Shopping & Miscellaneous
2023-09-24,Escape Room Experience,-10,Savings,Entertainment
2023-09-25,Sephora Makeup,-131,Savings,Shopping & Miscellaneous
2023-09-25,Concert Tickets,-17,Checking,Entertainment
2023-09-27,Domino's Pizza,-52,Savings,Groceries & Dining
2023-09-27,Stock Purchase - Robinhood,361,Savings,Savings
2023-09-28,Monthly Rent - Apartment,-1200,Checking,Rent
2023-09-28,Walmart Groceries,-234,Savings,Groceries & Dining
2023-09-28,Salary Payment,3000,Checking,Salary
2023-09-30,DoorDash,-111,Savings,Groceries & Dining
2023-10-01,Stock Purchase - Robinhood,164,Savings,Savings
2023-10-01,Amusement Park Ticket,-68,Checking,Entertainment
2023-10-02,Walmart Household Supplies,-226,Savings,Shopping & Miscellaneous
2023-10-04,Target Shopping,-198,Checking,Shopping & Miscellaneous
2023-10-04,Internet Bill - Comcast,-39,Savings,Utilities & Bills
2023-10-05,Nike Shoes,-164,Checking,Shopping & Miscellaneous
2023-10-05,Chipotle,-146,Savings,Groceries & Dining
2023-10-05,Etsy Handmade Goods,-206,Checking,Shopping & Miscellaneous
2023-10-05,Apple Store,-84,Savings,Shopping & Miscellaneous
2023-10-05,Mobile Plan - Verizon,-59,Checking,Utilities & Bills
2023-10-07,Spotify Premium,-56,Savings,Entertainment
2023-10-07,Local Boutique Purchase,-156,Checking,Shopping & Miscellaneous
2023-10-07,Movie Night - AMC Theatres,-70,Checking,Entertainment
